player_id,player_name,gender,purchase_date,age,gaming_console
270,Linda Ramirez,Female,2024-07-18,36,PlayStation 5
271,Sandra Anderson,Female,2023-12-14,29,Nintendo Switch
272,Betty Wilson,Female,2023-11-17,19,Nintendo Switch
273,Daniel Perez,Male,2023-06-06,27,Nintendo Switch
274,Robert Williams,Male,2024-03-18,18,PC
275,Lisa Sanchez,Female,2023-03-03,33,PlayStation 4
276,Emily Moore,Other,2023-05-06,37,Nintendo Switch
277,Matthew Ramirez,Male,2024-03-09,40,PC
278,Charles Martin,Male,2023-04-17,27,PlayStation 4
279,Paul Miller,Male,2024-05-08,37,PlayStation 5
280,Michael Lopez,Male,2023-04-28,27,Xbox Series X
281,Joshua Davis,Male,2024-07-28,43,PlayStation 4
282,Amanda Perez,Female,2023-01-27,33,PlayStation 4
283,Sarah Smith,Female,2024-12-20,24,Xbox Series X
284,Nancy Lopez,Female,2023-05-27,21,PlayStation 4
285,Betty Williams,Female,2024-10-10,39,PC
286,Jennifer White,Female,2024-01-21,22,Nintendo Switch
287,Ashley Hernandez,Female,2023-11-16,27,Xbox Series X
288,Joshua Martin,Male,2023-02-23,44,PlayStation 5
289,David Harris,Male,2024-11-21,17,PC
290,Sarah Anderson,Female,2024-05-12,29,PlayStation 4
291,Donald Wilson,Male,2024-06-08,22,PC
292,Matthew Wilson,Male,2024-11-25,25,PlayStation 4
293,Kimberly Taylor,Female,2023-02-16,25,PlayStation 5
294,Betty Martin,Female,2023-07-29,16,Xbox Series X
295,Susan Harris,Female,2023-09-19,40,Xbox Series X
296,Daniel Brown,Male,2024-03-16,31,PlayStation 5
297,William Gonzalez,Male,2023-08-24,38,PlayStation 4
298,Emily Clark,Female,2023-12-29,41,PC
299,Betty Ramirez,Female,2024-03-22,17,PC
300,Ashley Robinson,Female,2023-11-17,43,PlayStation 4
301,Sandra Jackson,Female,2024-10-17,38,Nintendo Switch
302,Charles Brown,Male,2023-11-29,16,PlayStation 5
303,Amanda Anderson,Female,2024-01-06,45,PC
304,Sandra Ramirez,Female,2024-03-22,23,PlayStation 4
305,Betty Taylor,Female,2023-11-14,28,Xbox Series X
306,Joseph Hernandez,Male,2023-03-20,21,PlayStation 4
307,Linda Taylor,Female,2023-12-24,22,Xbox Series X
308,Elizabeth Davis,Female,2023-09-20,20,PlayStation 5
309,Barbara Martin,Female,2024-11-02,40,PC
310,Barbara Harris,Female,2024-04-20,31,PlayStation 4
311,Michelle Anderson,Female,2024-08-01,45,PlayStation 4
312,Daniel Ramirez,Male,2023-06-04,26,Nintendo Switch
313,Robert Thomas,Male,2023-11-07,36,Xbox Series X
314,Michelle Johnson,Female,2023-03-17,32,Xbox Series X
315,Ashley Anderson,Female,2024-01-13,17,Xbox Series X
316,Robert Lee,Male,2024-08-31,35,PlayStation 4
317,Anthony Anderson,Male,2023-02-12,33,Nintendo Switch
318,Joshua Lee,Male,2024-09-11,26,Nintendo Switch
319,Paul Jones,Male,2023-04-16,30,Xbox Series X
320,Jennifer Taylor,Female,2023-02-10,21,PlayStation 5
321,Donald Anderson,Female,2024-09-16,32,PlayStation 5
322,Lisa Lopez,Female,2024-02-23,28,Xbox Series X
323,Kevin Johnson,Male,2023-12-09,36,PC
324,Nancy Brown,Female,2024-01-31,37,Xbox Series X
325,Thomas White,Male,2024-09-09,45,PlayStation 5
326,Nancy Williams,Female,2023-05-25,37,Xbox Series X
327,Karen Lee,Female,2024-02-06,37,PlayStation 5
328,Kevin Thompson,Male,2024-07-26,25,Nintendo Switch
329,Nancy Clark,Female,2024-12-20,37,PlayStation 4
330,Jennifer Lee,Female,2024-06-04,29,Xbox Series X
331,Mary Lopez,Female,2023-08-08,21,Xbox Series X
332,Kimberly Miller,Female,2023-06-08,20,PC
333,Charles Ramirez,Male,2024-07-06,32,PlayStation 4
334,John Perez,Male,2024-09-24,44,PlayStation 5
335,Kevin Gonzalez,Male,2023-07-05,21,PlayStation 4
336,David White,Male,2024-02-25,17,Xbox Series X
337,Jessica Anderson,Female,2024-04-04,25,PlayStation 5
338,Andrew Davis,Male,2024-04-25,41,PlayStation 5
339,Lisa Perez,Female,2024-04-17,30,Xbox Series X
340,Anthony Taylor,Male,2023-06-15,29,PlayStation 5
341,Kevin Jones,Male,2024-10-18,17,Nintendo Switch
342,Lisa Moore,Female,2024-06-12,38,PC
343,Charles Williams,Male,2023-10-07,21,Nintendo Switch
344,Paul Jones,Male,2023-08-16,18,Nintendo Switch
345,Matthew Robinson,Male,2023-02-24,29,Nintendo Switch
346,Paul Lopez,Male,2023-03-25,28,Xbox Series X
347,Joseph Smith,Male,2023-04-12,45,Xbox Series X
348,Elizabeth Jones,Female,2024-04-28,25,PlayStation 5
349,Steven Anderson,Female,2023-03-23,16,PC
350,Thomas Miller,Male,2024-09-15,33,PlayStation 4
351,Sandra Brown,Female,2023-09-01,25,Xbox Series X
352,Linda Johnson,Female,2024-10-16,29,PlayStation 4
353,Ashley Williams,Female,2024-05-26,42,PlayStation 4
354,Andrew Smith,Other,2024-08-11,32,PlayStation 5
355,Elizabeth Martinez,Female,2024-09-21,16,Xbox Series X
356,Jessica Jackson,Female,2024-11-11,21,PC
357,Donna Lopez,Female,2024-07-11,32,PlayStation 4
358,Paul Moore,Male,2024-04-26,28,PC
359,Anthony Lopez,Male,2023-01-17,39,Xbox Series X
360,Robert Lopez,Male,2024-11-03,39,PC
361,Michelle White,Female,2023-05-17,26,PC
362,Matthew Moore,Male,2024-10-20,42,PlayStation 5
363,Ashley Thompson,Female,2023-07-06,36,PlayStation 5
364,Robert Thompson,Male,2023-02-07,30,Xbox Series X
365,Richard Johnson,Male,2023-02-12,44,Xbox Series X
366,Karen Taylor,Female,2024-07-10,42,Nintendo Switch
367,Thomas Johnson,Male,2023-07-15,36,Xbox Series X
368,Matthew Ramirez,Male,2024-11-02,17,Xbox Series X
369,Sarah Brown,Female,2024-02-14,29,Nintendo Switch
370,Anthony Hernandez,Male,2024-12-09,31,Nintendo Switch
371,Lisa Robinson,Female,2023-03-26,24,Nintendo Switch
372,Jennifer Wilson,Female,2023-07-04,42,PlayStation 4
373,Charles Hernandez,Male,2023-12-02,18,Xbox Series X
374,Karen Anderson,Female,2024-03-12,38,PlayStation 5
375,Donald Lopez,Other,2023-12-28,17,PlayStation 4
376,Sandra Rodriguez,Female,2023-02-28,41,PC
377,Betty Lopez,Female,2024-11-26,41,PlayStation 5
378,Mary Jones,Female,2024-03-24,37,PC
379,William Williams,Male,2024-10-22,40,Xbox Series X
380,Lisa Gonzalez,Female,2024-09-11,17,PlayStation 5
381,Donald Lopez,Male,2023-03-20,30,PlayStation 4
382,William Taylor,Male,2023-11-18,28,Xbox Series X
383,Jessica Brown,Female,2023-07-10,39,Nintendo Switch
384,Donna Gonzalez,Female,2023-09-26,19,Xbox Series X
385,Donald Miller,Female,2024-12-11,25,Nintendo Switch
386,Richard Brown,Male,2023-03-17,43,Nintendo Switch
387,Barbara Lewis,Female,2023-03-31,30,Xbox Series X
388,Matthew Thompson,Male,2024-07-09,33,Xbox Series X
389,Karen Ramirez,Female,2024-12-27,38,PlayStation 5
390,Lisa Taylor,Female,2023-07-25,19,PlayStation 5
391,Jessica Sanchez,Female,2024-01-05,16,PlayStation 4
392,Joshua Lopez,Male,2024-07-18,41,PlayStation 5
393,Amanda Lewis,Female,2023-11-13,18,Nintendo Switch
394,Steven Taylor,Female,2024-02-24,40,PlayStation 4
395,Robert Jones,Male,2023-03-17,36,Nintendo Switch
396,Ashley Perez,Female,2023-05-12,27,PlayStation 4
397,Michelle Garcia,Female,2024-03-19,20,PlayStation 4
398,Patricia Clark,Female,2023-06-06,32,Xbox Series X
399,David Garcia,Male,2024-12-27,45,PlayStation 5
400,Matthew Taylor,Male,2023-03-22,43,Xbox Series X
401,Richard Lee,Female,2023-05-09,24,Xbox Series X
402,Amanda Moore,Female,2024-10-18,32,PlayStation 5
403,Michelle Jackson,Female,2024-11-05,21,PlayStation 4
404,Kevin Hernandez,Male,2023-01-30,17,PC
405,John Lee,Male,2023-09-29,34,PlayStation 5
406,Joshua Wilson,Male,2023-02-01,36,Nintendo Switch
407,Andrew Martinez,Male,2024-05-09,25,PlayStation 5
408,Betty Martinez,Female,2024-12-06,18,PC
409,David Anderson,Male,2024-04-20,31,PlayStation 5
410,Nancy Martin,Female,2023-11-23,26,Xbox Series X
411,Betty Jones,Female,2024-06-11,27,PlayStation 4
412,Michael Hernandez,Male,2023-05-06,30,Xbox Series X
413,Donald Davis,Male,2023-02-21,19,Xbox Series X
414,Anthony Ramirez,Male,2023-09-12,29,PlayStation 5
415,Daniel Robinson,Male,2023-11-17,39,PlayStation 5
416,David Thomas,Male,2024-05-25,30,Xbox Series X
417,Kimberly Smith,Female,2024-06-01,28,Nintendo Switch
418,Jessica Miller,Female,2023-02-19,27,PC
419,Charles Thomas,Male,2024-10-31,44,Nintendo Switch
420,Charles Moore,Male,2023-04-21,43,Nintendo Switch
421,William Lewis,Male,2024-01-10,39,Nintendo Switch
422,Lisa Johnson,Female,2024-08-06,17,PlayStation 4
423,Richard Lopez,Female,2023-03-17,25,Nintendo Switch
424,Paul Anderson,Male,2023-10-14,33,PlayStation 4
425,Amanda Brown,Female,2024-02-08,19,Xbox Series X
426,Nancy Moore,Female,2023-05-28,40,PlayStation 5
427,Kevin Taylor,Male,2023-02-11,32,PC
428,John Jones,Male,2024-04-30,26,PlayStation 4
429,Ashley Jones,Female,2024-06-11,44,PlayStation 5
430,Daniel Robinson,Male,2023-06-16,26,Nintendo Switch
431,Amanda White,Female,2023-12-11,34,PlayStation 4
432,Paul Moore,Male,2024-07-30,38,Xbox Series X
433,Steven Clark,Male,2023-12-06,27,PC
434,Mark Jackson,Male,2024-12-05,41,PC
435,Kevin Thomas,Male,2024-08-15,36,PlayStation 4
436,Joseph White,Male,2024-05-06,34,PlayStation 5
437,Donna Lee,Female,2024-01-25,35,PlayStation 5
438,Jessica Johnson,Female,2023-04-23,38,PlayStation 5
439,Mary Anderson,Female,2023-06-05,29,Nintendo Switch
440,Susan Wilson,Female,2024-09-18,40,Nintendo Switch
441,Patricia Thompson,Female,2023-08-01,32,PlayStation 4
442,Daniel Perez,Male,2024-01-21,32,Xbox Series X
443,Barbara Anderson,Female,2024-07-13,26,Xbox Series X
444,Thomas Martin,Male,2023-09-10,22,Xbox Series X
445,Emily Martinez,Female,2023-10-23,25,PlayStation 5
446,Kimberly Hernandez,Female,2024-07-27,27,Xbox Series X
447,Charles Brown,Male,2024-07-10,37,Nintendo Switch
448,Betty Clark,Female,2023-05-30,40,Xbox Series X
449,John Martinez,Male,2023-12-21,18,Nintendo Switch
450,Thomas White,Male,2023-07-26,22,PlayStation 4
451,Sarah Robinson,Other,2023-10-06,38,PlayStation 5
452,Michael Martin,Male,2023-09-03,34,PlayStation 5
453,Patricia Perez,Female,2024-10-15,23,PlayStation 5
454,Patricia Brown,Female,2024-04-28,26,PC
455,William Smith,Male,2023-06-11,45,Nintendo Switch
456,Steven Thomas,Female,2023-10-22,22,Xbox Series X
457,Charles Lee,Male,2023-04-02,45,PlayStation 4
458,Joseph Moore,Male,2023-02-08,39,PlayStation 5
459,Mark Lewis,Male,2023-02-07,45,Nintendo Switch
460,Kimberly Garcia,Female,2023-10-24,43,PC
461,James Martinez,Male,2023-04-20,35,Xbox Series X
462,Charles Anderson,Male,2024-06-20,33,Nintendo Switch
463,William Ramirez,Male,2023-10-07,30,PlayStation 5
464,Linda Hernandez,Female,2024-04-14,39,Xbox Series X
465,Barbara Smith,Female,2023-10-30,26,PlayStation 4
466,Richard Garcia,Female,2024-10-16,43,Nintendo Switch
467,Sandra Taylor,Female,2024-02-15,18,PC
468,Barbara Jones,Female,2023-09-12,26,PC
469,Thomas Gonzalez,Male,2023-10-01,30,Xbox Series X
470,Karen Jackson,Female,2023-01-12,34,Xbox Series X
471,Lisa Thompson,Female,2024-11-14,17,PC
472,Ashley Martinez,Female,2024-12-03,28,PlayStation 4
473,Karen Thompson,Female,2023-10-30,36,Xbox Series X
